BRAND-NAME,CT-REGISTRATION-NUMBER,STATUS,EFFECTIVE,EXPIRATION,OUT-OF-STATE-SHIPPER,SUPERVISOR-CREDENTIAL-,WHOLESALERS
DOUBLE COCONUT MIND HAZE,LBD.0162292,ACTIVE,12/10/2019 00:00,12/09/2022 00:00,FIRESTONE WALKER INC,LSB.0000984,CRAFT BEER GUILD DISTRIBUTING OF CONNECTICUT LLC (LIW.0000682)
MARQUES DEL ATRIO,LBD.0164039,ACTIVE,02/14/2020 12:00:00 AM,02/13/2023 12:00:00 AM,TRI-VIN IMPORTS INC,LCL.0000647,TRI-VIN IMPORTS INC (LIW.0000708)
CAPRICCIO SANGRIA,LBD.0163167,ACTIVE,01/14/2020 12:00:00 AM,01/13/2023 12:00:00 AM,CARIBBEAN DISTILLERS LLC,LSL.0001321,STAR DISTRIBUTORS (LIW.0000533)
BRUNO GIACOSA RED BAROLO DOCG,LBD.0165342,ACTIVE,03/18/2020 12:00:00 AM,03/17/2023 12:00:00 AM,FOLIO WINE COMPANY LLC,LSL.0000946,HARTLEY & PARKER LTD (LIW.0000512)
2013 RESERVE DRY RIESLING,LBD.0158268,ACTIVE,07/25/2019 12:00:00 AM,07/24/2022 12:00:00 AM,SHELDRAKE POINT VINEYARD LLC,LSW.0001353,
OVUM RIESLING 'OFF THE GRID',LBD.0160724,ACTIVE,10/11/2019 00:00,10/10/2022 00:00,MICHAEL SKURNIK WINES INC,LSL.0000812,MICHAEL SKURNIK WINES OF CONNECTICUT (LIW.0000594)
GLEN FOHDRY MIZUNARA OAK CASK 12 YEAR,LBD.0166031,ACTIVE,04/16/2020 12:00:00 AM,04/15/2023 12:00:00 AM,W J DEUTSCH & SONS LTD,LSL.0000741,INTERWINE INC (LIW.0000513)
LOMA VISTA VINEYARDS CABERNET SAUVIGNON NAPA VALLEY,LBD.0164133,ACTIVE,02/19/2020 12:00:00 AM,02/18/2023 12:00:00 AM,W J DEUTSCH & SONS LTD,LSL.0000741,INTERWINE INC (LIW.0000513)
PATRICIA GREEN PINOT NOIR 'PATTY GREEN COMMENMORATIVE',LBD.0161876,ACTIVE,11/22/2019 12:00:00 AM,11/21/2022 12:00:00 AM,MICHAEL SKURNIK WINES INC,LSL.0000812,MICHAEL SKURNIK WINES OF CONNECTICUT (LIW.0000594)
JOSEPH MAGNUS CIGAR BLEND BOURBON,LBD.0165360,ACTIVE,03/18/2020 12:00:00 AM,03/17/2023 12:00:00 AM,WI INC,LSL.0001296,ALLAN S GOODMAN INC (LIW.0000531)
MAISON L'ENVOYE-OREGON CHARDONNAY STRAIGHT SHOOTER WILLAMETTE VALLEY,LBD.0164717,ACTIVE,03/02/2020 00:00,03/01/2023 00:00,OLD BRIDGE CELLARS,LSL.0000584,HARTLEY & PARKER LTD (LIW.0000512)
IMPULSIVO,LBD.0104118,ACTIVE,10/09/2016 00:00,10/07/2019 00:00,CAYUSE WINERY LLC,LSW.0000307,
"CHRONIC CELLARS TANNAT, PETITE SIRAH, ZINFANDEL GIANT OAK PASO ROBLES",LBD.0165382,ACTIVE,03/19/2020 12:00:00 AM,03/18/2023 12:00:00 AM,WINERY EXCHANGE INC,LSL.0000864,
SIERRA NEVADA DANKFUL IPA,LBD.0167115,ACTIVE,05/29/2020 12:00:00 AM,05/28/2023 12:00:00 AM,SIERRA NEVADA BREWING CO,LSB.0000531,"HARTFORD DISTRIBUTORS INC (LIW.0000505), G & G BEVERAGE DISTRIBUTOR (LIW.0000509)"
BRAAI CABERNET SAUVIGNON,LBD.0163462,ACTIVE,01/24/2020 12:00:00 AM,01/23/2023 12:00:00 AM,WORLDWIDE WINES OF NY INC,LSL.0000662,BRESCOME BARTON INC (LIW.0000506)
CLINE OLD VINE ZINFANDEL LODI,LBD.0162257,ACTIVE,12/12/2019 00:00,12/11/2022 00:00,CLINE CELLARS INC,LSW.0000412,SLOCUM & SONS (LIW.0000596)
SOUTHERN TIER DISTILLING CO VODKA SELTZER BLACK CHERRY & POMEGRANATE,LBD.0166530,ACTIVE,05/07/2020 00:00,05/06/2023 00:00,SOUTHERN TIER DISTILLING,LSL.0001882,CRAFT BEER GUILD DISTRIBUTING OF CONNECTICUT LLC (LIW.0000682)
BRIDGE ROAD VINEYARDS CABERNET SAUVIGNON CALIFORNIA,LBD.0166295,ACTIVE,04/23/2020 12:00:00 AM,04/22/2023 12:00:00 AM,E & J GALLO WINERY,LSL.0000640,CONNECTICUT DISTRIBUTORS INC (LIW.0000532)
BELLE MEADE BOURBON RESERVE WHISKEY,LBD.0167163,ACTIVE,06/02/2020 00:00,06/01/2023 00:00,CONSTELLATION BRANDS INC,LSL.0000520,"EDER BROTHERS INC (LIW.0000502), ALLAN S GOODMAN INC (LIW.0000531)"
